TDS_ppm,Li_ppm,Mg_ppm,Ca_ppm,Na_ppm,K_ppm,Cl_ppm,SO4_ppm,HCO3_ppm,B_ppm,pH,Temp_C,Source_Type,Sample_ID,Sampling_Date,Location,Mg_Recovery_%,Ca_Recovery_%,Li_Recovery_%,Energy_kWh_m3,Chemical_Cost_USD_m3,Energy_Cost_USD_m3,Treatment_Cost_USD_m3,Total_Cost_USD_m3,Li_Revenue_USD_m3,Mg_Revenue_USD_m3,Ca_Revenue_USD_m3,Salt_Revenue_USD_m3,Total_Revenue_USD_m3,Profit_USD_m3,CAPEX_USD_m3_day,ROI_%,Economic_Flag,Oil_ppm
33638.0,0.184,1216.5,389.4,10695.3,371.0,20000.0,2774.9,132.6,4.2,7.76,17.806399494715652,seawater,SE0019,2021-09-23 06:51:05.108514184,Atlantic,83.0980706457028,72.45025984586084,20.014892164050572,3.100484388768945,3.3638000000000003,0.2480387511015156,0.0,3.611838751101516,0.0029388266462318,0.9704525082287756,0.0846363935519346,0.4604295,1.5184572284269422,-2.093381522674574,3000,-25.46947519254065,Low,158.15
33000.0,0.177,1400.0,350.6,10000.0,391.0,19936.8,2500.0,114.4,4.0,8.09,23.87368678754323,seawater,SE0020,2023-10-16 10:34:39.465776288,Persian_Gulf,71.54992043323485,64.62879218358333,22.70518277293854,4.137826121207613,3.3000000000000003,0.331026089696609,0.0,3.6310260896966096,0.0032070162459464,0.9616309306226762,0.0679765636186929,0.4490519999999999,1.4818665104873157,-2.149159579209294,3000,-26.148108213713076,Low,158.15
37000.0,0.146,1200.0,393.4,11000.0,400.0,18800.0,2500.0,116.8,4.5,7.87,15.0,seawater,SE0021,2022-08-11 00:31:15.125208672,Red_Sea,71.16059254188562,71.66404262858154,22.483249118157502,3.671599334522041,3.7,0.2937279467617633,0.0,3.993727946761764,0.0026194783882582,0.8197700260825224,0.0845779031102519,0.447,1.3539674075810326,-2.639760539180731,3000,-32.117086560032234,Low,158.15
34661.3,0.184,1331.0,403.8,11000.0,370.7,19610.9,2879.0,116.3,4.0,7.92,25.963257663240125,seawater,SE0022,2020-03-06 19:25:56.594323873,Pacific,79.70373872417699,80.90857989464594,12.65145734539061,4.060393702782278,3.4661300000000006,0.3248314962225822,0.0,3.790961496222583,0.0018576387849383,1.018422491922044,0.0980126536843741,0.4591635,1.5774562843913569,-2.213505211831226,3000,-26.93098007727992,Low,158.15
35101.3,0.226,1363.4,388.8,10385.3,371.8,18800.0,2708.9,103.1,5.0,8.5,26.826971209625704,seawater,SE0023,2022-12-03 13:54:11.419031712,Red_Sea,89.15573272220203,81.81544925491532,17.805937647544205,3.483291635964431,3.5101300000000006,0.2786633308771544,0.0,3.788793330877155,0.0032112652428593,1.1669272895371223,0.0954295400109332,0.4377795,1.703347594790915,-2.08544573608624,3000,-25.37292312238259,Low,158.15
33000.0,0.21,1341.4,367.5,10478.3,400.0,19428.2,2900.0,119.7,4.5,7.72,24.8041894227862,seawater,SE0024,2021-02-06 04:05:12.520868112,Atlantic,78.53591872126319,61.2315183677683,24.138779458437497,4.266475862109485,3.3000000000000003,0.3413180689687588,0.0,3.641318068968759,0.0040451766616449,1.0113415811779434,0.0675077490004645,0.4485975,1.5314920068400528,-2.1098260621287066,3000,-25.66955042256593,Low,158.15
34183.4,0.218,1281.5,408.4,10000.0,350.0,20000.0,2500.0,118.7,4.4,7.7,21.72733214500845,seawater,SE0025,2020-12-16 23:38:21.836393988,Red_Sea,77.12962317321102,64.02258395131433,29.439801971614525,3.802242117360172,3.41834,0.3041793693888137,0.0,3.722519369388814,0.0051214657101899,0.9488794761261112,0.0784404698571503,0.45,1.4824414116934514,-2.2400779576953624,3000,-27.254281818626914,Low,158.15
35166.4,0.155,1287.0,422.1,10757.1,372.2,18831.3,2814.0,124.8,4.8,7.83,15.0,seawater,SE0026,2022-08-06 03:31:33.155258752,Atlantic,89.95913431004573,66.8822533941701,13.360354765940524,4.415411732735483,3.51664,0.3532329386188386,0.0,3.869872938618839,0.0016525422809991,1.1114630962274767,0.0846929974730376,0.443826,1.6416346359815135,-2.228238302637325,3000,-27.110232682087453,Low,158.15
33273.5,0.14,1304.4,350.0,10786.0,383.8,18899.4,2900.0,121.7,5.0,8.12,26.867668417058844,seawater,SE0027,2021-10-27 09:48:58.898163600,Red_Sea,80.63937921558367,74.87164627219005,18.208837806782327,3.118221958716051,3.32735,0.2494577566972841,0.0,3.576807756697284,0.0020342913597737,1.0097856599885506,0.0786152285857995,0.445281,1.535716179934124,-2.04109157676316,3000,-24.833280850618447,Low,158.15
35563.5,0.166,1285.3,450.0,10468.9,389.0,19858.4,2793.9,136.0,4.5,7.5,30.0,seawater,SE0028,2021-09-28 03:50:47.078464104,Pacific,77.50482813780496,69.02486896981168,11.901875996054589,3.771415236813112,3.55635,0.3017132189450489,0.0,3.858063218945049,0.0015766177094453,0.956322773812999,0.0931835731092457,0.4549095,1.5059924646316902,-2.3520707543133588,3000,-28.616860844145865,Low,158.15
34099.0,0.172,1396.4,395.1,11000.0,369.8,18800.0,2765.3,138.5,4.1,7.5,22.04490772133284,seawater,SE0029,2021-03-19 14:32:39.265442400,Persian_Gulf,77.71721626683204,81.10102283615188,14.84752919298512,4.149682868996548,3.4099000000000004,0.3319746295197238,0.0,3.741874629519724,0.0020379124669123,1.041833479632041,0.0961290423676908,0.447,1.5870004344666442,-2.15487419505308,3000,-26.21763603981247,Low,158.15
34562.5,0.203,1400.0,400.9,10333.0,380.7,19020.3,2711.7,100.0,4.0,7.62,27.200299645115724,seawater,SE0030,2023-08-01 21:09:18.931552576,Pacific,73.89918992067021,77.91679670707344,17.535186866523006,3.9002289721104217,3.4562500000000003,0.3120183177688337,0.0,3.768268317768834,0.0028405950612555,0.9932051125338076,0.0937105313995972,0.4402995,1.5300557389946603,-2.2382125787741733,3000,-27.231586375085776,Low,158.15
34097.4,0.119,1244.3,435.4,10782.3,350.0,19757.9,2500.0,137.4,4.2,7.5,17.159278432899747,seawater,SE0031,2020-10-07 07:12:43.272120200,Atlantic,80.24446114895078,62.511400577837705,20.81286495904701,3.034791210640264,3.40974,0.2427832968512211,0.0,3.652523296851221,0.001976431282241,0.9585425568733388,0.0816523914347716,0.458103,1.5002743795903513,-2.15224891726087,3000,-26.185695160007256,Low,158.15
37000.0,0.216,1200.0,411.7,10000.0,366.8,19019.4,2900.0,100.0,4.2,7.67,27.28606531846257,seawater,SE0032,2022-04-06 06:39:03.906510848,Mediterranean,78.77710056336012,75.61393756280228,14.61133764478162,4.458508017515821,3.7,0.3566806414012657,0.0,4.0566806414012655,0.0025185270471557,0.9075121984899086,0.093390774283817,0.435291,1.4387124998208811,-2.617968141580384,3000,-31.851945722561343,Low,158.15
34979.8,0.165,1291.2,447.7,10488.2,389.1,19258.4,2587.8,131.8,4.6,7.95,23.03308851127672,seawater,SE0033,2023-03-06 04:48:28.848080128,Pacific,75.41590592694827,62.825315633674464,14.551253223573717,3.447395539613848,3.4979800000000005,0.2757916431691078,0.0,3.773771643169108,0.0019159635119479,0.934819370235606,0.0843806814275881,0.446199,1.4673150151751422,-2.306456627993966,3000,-28.061888973926585,Low,158.15
33413.4,0.157,1400.0,414.4,10412.8,360.4,19846.5,2810.9,132.4,4.3,7.53,21.187910246985428,seawater,SE0034,2023-07-10 22:40:40.066777952,Red_Sea,73.2108017320352,66.3758917409115,25.55659958280408,3.373916799549573,3.34134,0.2699133439639659,0.0,3.6112533439639662,0.0032018841353311,0.9839531752785532,0.0825185086123011,0.4538895,1.5235630680261856,-2.0876902759377804,3000,-25.40023169057633,Low,158.15
36233.8,0.14,1219.6,369.4,10612.7,381.2,19652.9,2500.0,100.0,4.8,7.5,21.198181793919343,seawater,SE0035,2022-08-13 11:01:06.110183632,Persian_Gulf,76.22477737335107,64.4467658383557,29.252833258937624,3.728489813409869,3.623380000000001,0.2982791850727895,0.0,3.92165918507279,0.0032681265316885,0.892451889451574,0.0714199059020657,0.453984,1.4211239218853284,-2.5005352631874613,3000,-30.423179035447447,Low,158.15
33168.7,0.12,1400.0,418.1,10315.2,388.9,19560.1,2500.0,121.9,4.2,7.82,23.03194208983495,seawater,SE0036,2023-01-18 21:21:20.133555920,Red_Sea,80.17366655375459,64.32654873001762,16.472259355029124,3.813237161285024,3.31687,0.3050589729028019,0.0,3.6219289729028015,0.0015773835558375,1.0775340784824616,0.080684790072061,0.4481295,1.6079257521103605,-2.014003220792441,3000,-24.503705852974697,Low,158.15
35313.3,0.195,1400.0,350.0,10434.3,373.1,19196.5,2900.0,110.6,4.5,8.06,26.91216657846268,seawater,SE0037,2022-10-13 09:27:20.734557584,Red_Sea,71.16666544569604,75.40988811942148,23.759840372713604,4.149432206384738,3.5313300000000005,0.331954576510779,0.0,3.86328457651078,0.0036972687603979,0.956479983590155,0.0791803825253925,0.4444619999999999,1.4838196348759454,-2.3794649416348346,3000,-28.950156789890485,Low,158.15
33000.0,0.172,1244.6,405.4,10913.0,383.4,19622.0,2640.5,104.8,5.0,7.5,18.43918399402241,seawater,SE0038,2023-01-26 04:50:53.088480800,Pacific,73.07488057167912,74.09012306385404,15.161609227158417,3.589910486488484,3.3000000000000003,0.2871928389190787,0.0,3.587192838919079,0.0020810218360828,0.8731103650513135,0.0901084076702592,0.458025,1.4233247945576557,-2.1638680443614238,3000,-26.32706120639732,Low,158.15
33007.7,0.131,1356.9,398.3,10281.6,360.7,19325.8,2900.0,147.0,4.7,8.05,23.014423342160736,seawater,SE0039,2023-12-11 12:01:12.120200320,Persian_Gulf,88.9531453393819,64.40070381969318,28.55904509931264,3.6599405646933194,3.30077,0.2927952451754655,0.0,3.5935652451754656,0.0029855054565919,1.15872501994567,0.0769524009941513,0.444111,1.6827739263964132,-1.9107913187790524,3000,-23.247961045145136,Low,158.15
35295.3,0.131,1400.0,389.6,10000.0,375.9,19674.7,2694.4,106.9,4.5,8.05,24.79264111000426,seawater,SE0040,2021-01-29 20:35:39.565943236,Mediterranean,80.85710702062678,84.7543201354608,23.458047203307967,3.8024398739007466,3.5295300000000003,0.3041951899120597,0.0,3.83372518991206,0.0024522573385394,1.086719518357224,0.0990608493743265,0.4451205,1.63335312507009,-2.20037206484197,3000,-26.771193455577304,Low,158.15
36107.7,0.16,1262.1,393.6,11000.0,392.2,19101.8,2500.0,103.9,4.2,8.09,19.504803877340706,seawater,SE0041,2022-07-07 21:33:21.335559264,Red_Sea,71.26898607320075,70.54591830920734,26.0535370927514,3.591580649612461,3.61077,0.2873264519689969,0.0,3.898096451968997,0.0033265156160024,0.863506438300672,0.083300620339512,0.451527,1.4016605742561865,-2.496435877712811,3000,-30.3733031788392,Low,158.15
35257.1,0.22,1279.6,350.0,11000.0,383.1,19290.5,2888.4,121.5,4.2,8.17,30.0,seawater,SE0042,2020-12-02 08:39:15.926544240,Persian_Gulf,83.86175517539147,62.42673320387342,10.987080863983296,4.371822118651734,3.52571,0.3497457694921387,0.0,3.875455769492139,0.0019288919164809,1.0301712184553369,0.065548069864067,0.4543575,1.5520056802358846,-2.323450089256254,3000,-28.26864275261776,Low,158.15
34826.5,0.162,1241.8,372.6,10000.0,368.3,18806.0,2592.0,133.7,4.1,8.46,20.73252259969329,seawater,SE0043,2020-12-24 07:07:54.791318864,Mediterranean,71.2360574015807,63.01422542387788,21.970119364812494,4.276877949951379,3.48265,0.3421502359961103,0.0,3.8248002359961104,0.0028402091510055,0.849224986380316,0.0704373011788106,0.43209,1.354592496710132,-2.4702077392859785,3000,-30.054194161312743,Low,158.15
34548.3,0.125,1200.0,404.6,10844.9,384.5,19379.0,2849.7,117.2,4.2,7.69,21.652815431832547,seawater,SE0044,2020-06-29 08:48:52.888146910,Red_Sea,84.77748454092746,74.59734284316487,20.552246627167644,3.6824605426168175,3.4548300000000003,0.2945968434093454,0.0,3.7494268434093456,0.0020500866010599,0.9766366219114844,0.0905462547430335,0.4533585,1.522591463255578,-2.2268353801537675,3000,-27.093163791870836,Low,158.15
33000.0,0.163,1235.1,408.0,10248.5,394.3,18913.4,2715.0,143.3,4.9,7.83,20.10846025088751,seawater,SE0045,2022-12-30 09:22:32.253756256,Persian_Gulf,84.99925443440054,84.47673508458682,15.85993813823064,3.000292293505976,3.3000000000000003,0.240023383480478,0.0,3.540023383480478,0.0020629655933922,1.0078327598585095,0.1033995237435342,0.4374285,1.5507237491954362,-1.989299634285042,3000,-24.20314555046801,Low,158.15
33920.2,0.162,1200.0,350.0,10631.7,350.0,18800.0,2500.0,130.6,4.4,7.68,30.0,seawater,SE0046,2021-02-20 19:04:18.430717860,Pacific,83.02157951498505,74.29877754047995,15.24859970114636,4.351401743293921,3.39202,0.3481121394635136,0.0,3.7401321394635136,0.0019712779749653,0.9564085960126276,0.0780137164175039,0.4414755,1.4778690904050973,-2.2622630490584164,3000,-27.524200430210733,Low,158.15
34309.0,0.1,1303.4,450.0,10647.1,400.0,19555.2,2742.9,100.0,4.0,7.8,27.764526142997408,seawater,SE0047,2022-03-05 14:11:01.101836392,Red_Sea,84.644090892387,83.72603691541593,21.600496046339394,3.186504860159198,3.4309000000000003,0.2549203888127358,0.0,3.685820388812736,0.0017237195844978,1.0591210374637174,0.1130301498358115,0.4530345,1.6269094068840269,-2.058910981928709,3000,-25.05008361346596,Low,158.15
36585.7,0.168,1223.0,356.7,10382.8,373.3,19527.6,2900.0,109.4,5.0,8.26,20.31703996878179,seawater,SE0048,2022-06-20 20:04:24.440734560,Red_Sea,71.75931562026115,71.10332126895067,24.129712700144506,3.3667686227910694,3.65857,0.2693414898232855,0.0,3.927911489823286,0.0032349258034321,0.8425117728343622,0.0760876640899041,0.4486559999999999,1.3704903627276983,-2.557421127095588,3000,-31.11529037966298,Low,158.15
35515.4,0.163,1323.4,448.5,10108.1,388.5,19869.7,2808.6,108.8,4.7,7.5,30.0,seawater,SE0049,2020-08-09 19:16:19.632721200,Persian_Gulf,84.53561104710535,70.8960275913003,10.663455140703778,3.228541926548097,3.55154,0.2582833541238478,0.0,3.809823354123848,0.0013870382639719,1.0739945055334967,0.0953906051240945,0.449667,1.620439148921563,-2.189384205202285,3000,-26.63750782996113,Low,158.15
33000.0,0.191,1200.0,421.4,10154.7,400.0,19141.3,2698.5,129.6,4.0,7.54,26.00349347144439,seawater,SE0050,2023-09-26 22:35:51.585976624,Red_Sea,72.73376639447766,72.50018398289706,21.348031638474087,3.269723354971536,3.3000000000000003,0.2615778683977228,0.0,3.5615778683977237,0.0032538242862729,0.8378929888643826,0.0916547325911784,0.43944,1.372241545741834,-2.189336322655889,3000,-26.63692525897999,Low,158.15
35486.1,0.225,1333.1,367.7,10041.9,352.6,19644.8,2900.0,100.0,4.3,8.21,26.28626710555751,seawater,SE0051,2022-06-25 17:04:06.410684464,Mediterranean,76.79011814543688,77.43563645388889,13.409190578932574,4.204316306834752,3.54861,0.3363453045467801,0.0,3.884955304546781,0.0024076201684473,0.9827415023969462,0.0854192505722848,0.4453004999999999,1.5158688731376782,-2.3690864314091025,3000,-28.82388491547741,Low,158.15
34422.4,0.204,1383.4,450.0,10084.1,365.8,19730.5,2752.1,150.0,4.6,8.11,23.277613956237737,seawater,SE0052,2021-09-06 05:22:08.213689480,Red_Sea,88.85490507001265,69.19039916128332,12.807254627722012,3.8692521624988863,3.4422400000000004,0.3095401729999109,0.0,3.751780172999912,0.0020849185953561,1.180050006469013,0.0934070388677325,0.447219,1.7227609639321018,-2.0290192090678096,3000,-24.686400376991685,Low,158.15
33984.6,0.162,1200.0,350.0,10466.4,374.2,19666.9,2751.9,130.6,5.0,7.69,21.25292006521513,seawater,SE0053,2020-05-26 05:50:59.098497496,Atlantic,80.0575095531828,81.59715081697392,22.46238976189369,4.434142744688023,3.39846,0.3547314195750418,0.0,3.753191419575042,0.0029038478988585,0.922262510052666,0.0856770083578226,0.4519995,1.4628428663093471,-2.290348553265695,3000,-27.865907398065957,Low,158.15
35917.5,0.137,1337.4,446.0,10142.1,364.3,18904.6,2500.0,123.0,4.0,8.06,26.68883049527301,seawater,SE0054,2023-10-21 07:34:21.435726208,Mediterranean,89.34852864166028,60.73203461920365,16.21740234434946,3.347180268485575,3.59175,0.267774421478846,0.0,3.859524421478846,0.0017729837286983,1.147149333171422,0.0812594623204945,0.4357004999999999,1.665882279220615,-2.193642142258231,3000,-26.68931273080848,Low,158.15
36546.5,0.247,1400.0,450.0,10841.0,400.0,19489.6,2756.8,143.6,5.0,7.9,22.274563850022048,seawater,SE0055,2020-01-27 19:28:20.834724541,Persian_Gulf,71.77844917773476,70.99410487571106,18.81760466269728,3.728452362196851,3.65465,0.2982761889757481,0.0,3.952926188975748,0.0037090627846456,0.9647023569487552,0.0958420415822099,0.4549589999999999,1.5192124613156104,-2.433713727660137,3000,-29.61018368653167,Low,158.15
36396.9,0.172,1200.0,366.5,11000.0,362.9,19618.5,2900.0,150.0,5.0,8.25,30.0,seawater,SE0056,2020-04-19 16:23:14.323873122,Mediterranean,79.5511319912636,72.77479624949794,17.19997618879546,4.466142553623705,3.63969,0.3572914042898963,0.0,3.996981404289897,0.0023607999317693,0.9164290405393566,0.0800158884763229,0.4592774999999999,1.4580832289474488,-2.538898175342448,3000,-30.889927799999786,Low,158.15
33741.2,0.17,1400.0,450.0,10210.0,368.9,19404.3,2542.8,137.4,4.2,7.82,18.65354447378448,seawater,SE0057,2023-09-12 07:36:45.676126864,Atlantic,71.24804640553741,75.1758059565774,22.966726403050476,4.2396652714121545,3.37412,0.3391732217129724,0.0,3.7132932217129726,0.0031156661038378,0.9575737436904228,0.1014873380413795,0.4442145,1.50639124783564,-2.206901973877333,3000,-26.850640682174216,Low,158.15
34536.2,0.169,1341.9,387.5,10619.7,384.1,18800.0,2900.0,139.0,4.4,8.11,30.0,seawater,SE0058,2020-06-02 13:20:32.053422370,Atlantic,82.6042052479857,66.90179780914659,19.40239532132938,4.092923518680736,3.45362,0.3274338814944589,0.0,3.7810538814944583,0.0026166458378251,1.0641271970138115,0.0777733399531329,0.4412955,1.5858126828047696,-2.195241198689689,3000,-26.708767917391214,Low,158.15
35496.9,0.176,1229.5,414.4,10749.8,356.0,19496.3,2691.7,122.6,4.0,8.5,24.443405756011,seawater,SE0059,2020-02-11 10:27:26.744574290,Red_Sea,71.57414002737033,70.68699927464588,29.26917324075895,3.283462802056188,3.5496900000000005,0.262677024164495,0.0,3.812367024164496,0.0041107968433181,0.8448038895710576,0.0878780774982397,0.4536915,1.3904842639126156,-2.42188276025188,3000,-29.466240249731207,Low,158.15
36463.3,0.166,1294.4,413.0,10736.0,372.1,20000.0,2532.4,117.2,4.4,7.98,26.49542867010553,seawater,SE0060,2021-01-22 13:06:06.611018360,Red_Sea,73.50735605080754,72.11344375535141,17.047655182129304,4.154108101364574,3.64633,0.3323286481091659,0.0,3.978658648109166,0.0022582687866663,0.9134200480527868,0.0893485568128804,0.4610399999999999,1.4660668736523337,-2.5125917744568325,3000,-30.5698665892248,Low,158.15
